strain	date	country	state	division	host	lineage	authors	journal	title	url	latitude	longitude
KJ501412	2008-08-12	USA	NE	NE	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501413	2004-10-15	USA	NC	NC	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501414	2005-08-25	USA	NC	NC	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501415	2006-07-26	USA	NC	NC	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501416	2006-09-07	USA	NC	NC	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501417	2006-07-26	USA	NC	NC	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501418	2008-12-04	USA	NC	NC	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501419	2004-08-06	USA	SD	SD	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501420	2004-08-06	USA	SD	SD	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501421	2004-08-06	USA	SD	SD	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501422	2004-08-06	USA	SD	SD	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501423	2004-08-06	USA	SD	SD	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501424	2007-08-03	USA	SD	SD	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501425	2007-08-03	USA	SD	SD	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501426	2002-07-19	USA	TX	TX	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501427	2002-09-11	USA	TX	TX	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501428	2006-08-15	USA	WI	WI	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501429	2006-08-16	USA	WI	WI	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501430	2006-08-16	USA	WI	WI	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501431	2006-08-16	USA	WI	WI	Bird-other	SW03	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501432	2012-08-29	USA	MA	MA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501434	2012-07-30	USA	MT	MT	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501435	2012-08-13	USA	SD	SD	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501437	2012-08-28	USA	WI	WI	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501438	2010-05-18	USA	AZ	AZ	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501439	2001-10-12	USA	MO	MO	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501445	2001-10-02	USA	NJ	NJ	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501446	2003-09-16	USA	NJ	NJ	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501447	2003-07-09	USA	NC	NC	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501448	2001-XX-XX	USA	OH	OH	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501449	2002-08-26	USA	PA	PA	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501450	2002-08-27	USA	PA	PA	Bird-crow	NY99	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501451	2003-08-28	USA	PA	PA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501452	2001-11-09	USA	WI	WI	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501456	2003-08-19	USA	MD	MD	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501457	2003-09-26	USA	MA	MA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501458	2002-08-30	USA	MO	MO	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501460	2003-09-11	USA	DC	DC/District_of_Columbia	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501463	2002-08-09	USA	KS	KS	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501464	2002-09-16	USA	MD	MD	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501472	2003-08-15	USA	GA	GA	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501475	2002-08-23	USA	KS	KS	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501476	2002-08-30	USA	KS	KS	Bird-other	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
KJ501477	2003-08-12	USA	KS	KS	Bird-crow	WN02	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
